Date,Open,High,Low,Close,Volume,Company
08/19/2021,19.7,19.7,19.7,19.7,1000,SASN
08/18/2021,19,19,19,19,200,SASN
08/17/2021,19,19.95,19,19.9,1700,SASN
08/16/2021,19.75,19.95,19,19.7,2400,SASN
08/13/2021,20,20,19,19.3,2700,SASN
12/08/2021,19.95,20,19.75,19.95,3500,SASN
11/08/2021,19.9,19.9,19.5,19.8,400,SASN
10/08/2021,19.9,20,19.9,19.95,3400,SASN
09/08/2021,19.5,19.5,19.5,19.5,100,SASN
06/08/2021,20,20,20,20,1000,SASN
05/08/2021,19.95,20,19.95,20,4300,SASN
04/08/2021,19.95,19.95,19.95,19.95,100,SASN
03/08/2021,19.95,19.95,19.95,19.95,500,SASN
02/08/2021,19.2,19.5,19.2,19.45,400,SASN
07/30/2021,19.2,19.2,19.2,19.2,300,SASN
