Date, Open, High, Low, Close, Volume
07/09/18, 21.00, 21.00, 21.00, 21.00, 400
07/06/18, 21.00, 22.00, 21.00, 21.00, 11300
07/05/18, 21.50, 21.50, 21.50, 21.50, 10000
07/04/18, 22.00, 22.00, 22.00, 22.00, 100
07/03/18, 21.25, 22.00, 21.00, 21.25, 400
07/02/18, 21.50, 21.75, 21.00, 21.50, 300
06/29/18, 21.25, 22.00, 21.00, 21.25, 1400
06/28/18, 22.00, 22.00, 22.00, 22.00, 17800
06/27/18, 21.25, 22.00, 21.25, 21.25, 50700
06/26/18, 22.00, 23.00, 22.00, 22.00, 10700
06/25/18, 21.25, 23.00, 21.00, 21.25, 69800
06/22/18, 22.00, 22.75, 21.00, 22.00, 5400
06/21/18, 22.75, 23.50, 22.00, 22.75, 31500
06/20/18, 22.50, 23.00, 22.00, 22.50, 1600
06/19/18, 23.00, 24.00, 22.25, 23.00, 2900
06/18/18, 23.25, 23.25, 23.25, 23.25, 2100
06/14/18, 23.25, 24.00, 22.00, 23.25, 11700
06/13/18, 22.25, 23.00, 22.00, 22.25, 18200
06/12/18, 22.50, 23.00, 22.50, 22.50, 100900
06/11/18, 23.00, 24.00, 23.00, 23.00, 4200
06/08/18, 23.00, 24.00, 23.00, 23.00, 3200
06/06/18, 23.50, 24.00, 23.00, 23.50, 300
06/05/18, 23.00, 23.00, 23.00, 23.00, 11000
06/04/18, 23.25, 23.25, 23.25, 23.25, 700
05/31/18, 23.25, 24.00, 22.75, 23.25, 3300
05/30/18, 22.25, 23.75, 22.00, 22.25, 2100
05/29/18, 22.75, 23.00, 22.75, 22.75, 41400
05/28/18, 23.75, 24.00, 23.00, 23.75, 400
05/25/18, 23.50, 24.00, 23.25, 23.50, 600
05/24/18, 24.00, 25.25, 24.00, 24.00, 2200
05/23/18, 23.50, 24.00, 22.50, 23.50, 300
05/22/18, 22.50, 23.00, 22.50, 22.50, 58300
05/21/18, 22.50, 24.00, 22.50, 22.50, 2100
05/18/18, 24.75, 24.75, 24.75, 24.75, 100
05/17/18, 24.00, 24.75, 24.00, 24.00, 16000
05/16/18, 24.00, 24.00, 24.00, 24.00, 100
05/15/18, 24.00, 24.25, 24.00, 24.00, 5000
05/14/18, 24.75, 25.00, 24.50, 24.75, 2200
05/11/18, 25.00, 25.00, 25.00, 25.00, 900
05/10/18, 25.00, 25.25, 24.75, 25.00, 600
05/09/18, 24.75, 25.00, 24.75, 24.75, 2600
05/08/18, 25.00, 25.25, 25.00, 25.00, 1400
05/07/18, 24.50, 25.25, 24.50, 24.50, 2300
05/02/18, 25.00, 25.00, 25.00, 25.00, 2600
04/30/18, 25.00, 25.00, 25.00, 25.00, 500
04/27/18, 25.00, 25.00, 25.00, 25.00, 1100
04/26/18, 25.00, 25.00, 25.00, 25.00, 100
04/25/18, 24.50, 25.00, 24.25, 24.50, 2000
04/24/18, 24.50, 24.50, 24.50, 24.50, 100
04/23/18, 25.00, 25.00, 25.00, 25.00, 300
04/20/18, 24.50, 24.75, 24.50, 24.50, 600
04/19/18, 24.75, 25.00, 24.75, 24.75, 1500
04/18/18, 25.00, 25.00, 25.00, 25.00, 9000
04/17/18, 25.00, 25.50, 25.00, 25.00, 14100
04/16/18, 25.25, 26.00, 25.25, 25.25, 1100
04/13/18, 25.25, 25.25, 25.25, 25.25, 200
04/11/18, 25.50, 26.00, 25.25, 25.50, 2500
04/10/18, 25.25, 26.00, 25.25, 25.25, 40400
04/09/18, 25.50, 25.50, 25.50, 25.50, 200
04/06/18, 25.00, 25.00, 25.00, 25.00, 1500
04/05/18, 24.75, 25.00, 24.75, 24.75, 4300
04/04/18, 24.75, 25.00, 24.50, 24.75, 8300
04/03/18, 24.50, 25.00, 24.50, 24.50, 400
03/29/18, 25.00, 26.00, 25.00, 25.00, 492700
03/28/18, 25.00, 25.25, 25.00, 25.00, 53400
03/27/18, 25.00, 25.25, 25.00, 25.00, 15900
03/26/18, 25.50, 26.00, 24.75, 25.50, 5700
03/23/18, 25.00, 25.25, 25.00, 25.00, 3600
